"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"L2,L1";"L_5.3x5.0_H3";2;"22uH";;;
2;"C5,C7";"CP_Radial_D5.0mm_P2.50mm";2;"33uF";;;
3;"R3";"R_1206_3216Metric";1;"100k";;;
4;"R9";"R_1206_3216Metric";1;"1K";;;
5;"SW1";"TerminalBlock_Altech_AK300-3_P5.00mm";1;"Power Switch";;;
6;"R6,R8";"R_1206_3216Metric";2;"470R";;;
7;"D4";"LED_D5.0mm";1;"PWR_LED";;;
8;"D2";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"D_Schottky";;;
9;"C4";"C_1206_3216Metric";1;"1uF";;;
10;"C1";"CP_Radial_D4.0mm_P2.00mm";1;"4.7uF";;;
11;"PJ4";"PinHeader_1x12_P2.00mm_Vertical";1;"12-pin Output Header";;;
12;"PJ1";"BarrelJack_Horizontal";1;"+12V Input";;;
13;"RLA1";"TMH1212S";1;"TMV1212S";;;
14;"PJ6";"PinHeader_1x02_P2.54mm_Vertical";1;"System Logic & FDD Power";;;
15;"R7";"R_1206_3216Metric";1;"1.5k";;;
16;"U1";"TO-92_Inline";1;"LM337L_TO92";;;
17;"R1,R2";"R_1206_3216Metric";2;"330K";;;
18;"D1";"D_1206_3216Metric";1;"D";;;
19;"C6";"C_0805_2012Metric";1;"100nF";;;
20;"C2";"C_1206_3216Metric";1;"100nF";;;
21;"U3,U4";"TO-220-3_Vertical";2;"K7805-2000R3";;;
22;"PJ5";"PinHeader_1x04_P2.54mm_Vertical";1;"HDD Power";;;
23;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Data";;;
24;"C3";"CP_Radial_D4.0mm_P2.00mm";1;"10uF";;;
25;"F1";"Fuse_1210_3225Metric";1;"2.2A";;;
26;"R5";"R_1206_3216Metric";1;"10K";;;
27;"U2";"SSOP-8_3.9x5.05mm_P1.27mm";1;"LT1614CMS8-PBF";;;
